dataset,sequence,metric,unit,best_method,best_value,best_modality,best_metric_type,best_paper,best_table,n_methods
VECtor,corridors_dolly,RPE_t,cm/s,Stereo-DEVO,16.87,Stereo E,metric,Stereo-DEVO,II,3
VECtor,corridors_walk,ATE,cm,ESVIO,34,Stereo E+F+I,metric,DEVO,2,8
VECtor,corridors_walk,MPE,%,ESVIO,0.43,Stereo E+F+I,metric,DEIO,IV,9
VECtor,corridors_walk,MRE,deg/m,ORB-SLAM3,1.31,Stereo F+I,metric,ESVIO,II,4
VECtor,desk_fast,ATE,cm,DPVO,1.9,F,up-to-scale,DEVO,2,7
VECtor,desk_fast,MPE,%,DPVO,0.05,F,up-to-scale,DEVO,2,8
VECtor,desk_fast,MRE,deg/m,ESVIO,0.32,Stereo E+F+I,metric,ESVIO,II,5
VECtor,desk_normal,ARE,deg,ESVO2,6.82,Stereo E+I,metric,ESVO2,VI,3
VECtor,desk_normal,ATE,cm,DPVO,1.0,F,up-to-scale,DEVO,2,12
VECtor,desk_normal,MPE,%,DPVO,0.09,F,up-to-scale,DEIO,IV,11
VECtor,desk_normal,MRE,deg/m,VINS-Fusion,0.36,Stereo F+I,metric,ESVIO,II,5
VECtor,desk_normal,RPE_R,deg/s,ESVO2,1.68,Stereo E+I,metric,ESVO2,VII,3
VECtor,desk_normal,RPE_t,cm/s,Stereo-DEVO,2.0,Stereo E,metric,Stereo-DEVO,II,6
VECtor,hdr_fast,ATE,cm,DPVO,1.2,F,up-to-scale,DEVO,2,7
VECtor,hdr_fast,MPE,%,DPVO,0.06,F,up-to-scale,DEVO,2,8
VECtor,hdr_fast,MRE,deg/m,ESVIO,0.33,Stereo E+F+I,metric,ESVIO,II,5
VECtor,hdr_normal,ARE,deg,ESVO2,7.82,Stereo E+I,metric,ESVO2,VI,4
VECtor,hdr_normal,ATE,cm,DPVO,0.5,F,up-to-scale,DEVO,2,12
VECtor,hdr_normal,MPE,%,DPVO,0.13,F,up-to-scale,DEVO,2,8
VECtor,hdr_normal,MRE,deg/m,ESVIO,1.06,Stereo E+F+I,metric,ESVIO,II,5
VECtor,hdr_normal,RPE_R,deg/s,ESVO2,1.53,Stereo E+I,metric,ESVO2,VII,4
VECtor,hdr_normal,RPE_t,cm/s,ESVIO,0.9,Stereo E+F+I,metric,Stereo-DEVO,III,6
VECtor,mountain_fast,ATE,cm,PL-EVIO,3.1,E+F+I,metric,DEVO,2,6
VECtor,mountain_fast,MPE,%,DPVO,0.11,F,up-to-scale,DEIO,IV,9
VECtor,mountain_fast,MRE,deg/m,ESVIO,0.45,Stereo E+F+I,metric,ESVIO,II,4
VECtor,mountain_normal,ATE,cm,DPVO,0.7,F,up-to-scale,DEVO,2,7
VECtor,mountain_normal,MPE,%,DPVO,0.08,F,up-to-scale,DEVO,2,8
VECtor,mountain_normal,MRE,deg/m,PL-EVIO,0.76,E+F+I,metric,ESVIO,II,5
VECtor,robot_fast,ARE,deg,ESVO2,16.29,Stereo E+I,metric,ESVO2,VI,1
VECtor,robot_fast,ATE,cm,DPVO,1.7,F,up-to-scale,DEVO,2,7
VECtor,robot_fast,MPE,%,DPVO,0.07,F,up-to-scale,DEVO,2,7
VECtor,robot_fast,MRE,deg/m,Ultimate-SLAM,0.56,E+F+I,metric,ESVIO,II,4
VECtor,robot_fast,RPE_R,deg/s,ESVO2,5.05,Stereo E+I,metric,ESVO2,VII,1
VECtor,robot_fast,RPE_t,cm/s,ESVO2,8.22,Stereo E+I,metric,ESVO2,VII,1
VECtor,robot_normal,ARE,deg,ESVO2,5.03,Stereo E+I,metric,ESVO2,VI,4
VECtor,robot_normal,ATE,cm,DPVO,0.7,F,up-to-scale,DEVO,2,13
VECtor,robot_normal,MPE,%,DPVO,0.15,F,up-to-scale,DEVO,2,9
VECtor,robot_normal,MRE,deg/m,Ultimate-SLAM,1.11,E+F+I,metric,ESVIO,II,6
VECtor,robot_normal,RPE_R,deg/s,ESIO,2.08,Stereo E+I,metric,ESVO2,VII,4
VECtor,robot_normal,RPE_t,cm/s,Stereo-DEVO,1.84,Stereo E,metric,Stereo-DEVO,II,6
VECtor,school_dolly,ATE,cm,DPVO,16,F,up-to-scale,DEVO,2,9
VECtor,school_dolly,MPE,%,DPVO,0.11,F,up-to-scale,DEVO,2,8
VECtor,school_dolly,MRE,deg/m,ESVIO,0.73,Stereo E+F+I,metric,ESVIO,II,5
VECtor,school_scooter,ATE,cm,OKVIS2+SuperEvent,39.07,Stereo E+I,metric,SuperEvent,5,9
VECtor,school_scooter,MPE,%,DPVO,0.4,F,up-to-scale,DEVO,2,9
VECtor,school_scooter,MRE,deg/m,ORB-SLAM3,0.49,Stereo F+I,metric,ESVIO,II,6
VECtor,sofa_fast,ATE,cm,DPVO,2.2,F,up-to-scale,DEVO,2,7
VECtor,sofa_fast,MPE,%,DPVO,0.07,F,up-to-scale,DEIO,IV,11
VECtor,sofa_fast,MRE,deg/m,VINS-Fusion,0.34,Stereo F+I,metric,ESVIO,II,5
VECtor,sofa_normal,ARE,deg,ESIO,12.11,Stereo E+I,metric,ESVO2,VI,2
VECtor,sofa_normal,ATE,cm,DPVO,2.1,F,up-to-scale,DEVO,2,11
VECtor,sofa_normal,MPE,%,DPVO,0.06,F,up-to-scale,DEVO,2,9
VECtor,sofa_normal,MRE,deg/m,Ultimate-SLAM,0.39,E+F+I,metric,ESVIO,II,6
VECtor,sofa_normal,RPE_R,deg/s,ESIO,2.03,Stereo E+I,metric,ESVO2,VII,2
VECtor,sofa_normal,RPE_t,cm/s,Stereo-DEVO,4.44,Stereo E,metric,Stereo-DEVO,II,4
VECtor,units_dolly,ATE,cm,OKVIS2+SuperEvent,122.61,Stereo E+I,metric,SuperEvent,5,9
VECtor,units_dolly,MPE,%,DEIO,0.35,E+I,metric,DEIO,IV,9
VECtor,units_dolly,MRE,deg/m,ESVIO,0.022,Stereo E+F+I,metric,ESVIO,II,4
VECtor,units_dolly,RPE_t,cm/s,Stereo-DEVO,32.43,Stereo E,metric,Stereo-DEVO,II,3
VECtor,units_scooter,ATE,cm,OKVIS2+SuperEvent,59.05,Stereo E+I,metric,SuperEvent,5,9
VECtor,units_scooter,MPE,%,DEIO,0.35,E+I,metric,DEIO,IV,10
VECtor,units_scooter,MRE,deg/m,ORB-SLAM3,0.22,Stereo F+I,metric,ESVIO,II,4
